[ 2025-06-16 14:31:00,236 ] 17 root - INFO - Initiate the data ingestion
[ 2025-06-16 14:31:27,262 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-06-16 14:31:27,262 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-16 14:31:27,262 ] 73 root - INFO - Exporting train and test file path.
[ 2025-06-16 14:31:27,389 ] 83 root - INFO - Exported train and test file path.
[ 2025-06-16 14:31:27,397 ] 19 root - INFO - Data Initiation Completed
[ 2025-06-16 14:31:27,409 ] 23 root - INFO - Initiate the data validation
[ 2025-06-16 14:31:27,472 ] 31 root - INFO - Required no of columns is 2
[ 2025-06-16 14:31:27,472 ] 32 root - INFO - Data frame has columns:32
[ 2025-06-16 14:31:27,472 ] 31 root - INFO - Required no of columns is 2
[ 2025-06-16 14:31:27,472 ] 32 root - INFO - Data frame has columns:32
[ 2025-06-16 14:31:27,846 ] 25 root - INFO - Data validation completed.
[ 2025-06-16 14:31:27,846 ] 27 root - INFO - Data transformation started.
[ 2025-06-16 14:31:27,846 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-16 14:31:27,847 ] 63 root - INFO - Starting data transformation
[ 2025-06-16 14:31:27,923 ] 48 root - INFO - Entered get_data_transformer_object nethod of Transformation class.
[ 2025-06-16 14:31:27,923 ] 53 root - INFO - Initialised KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-16 14:31:27,964 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-16 14:31:27,972 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-16 14:31:27,973 ] 32 root - INFO - Data transformation completed.
[ 2025-06-16 14:31:27,973 ] 34 root - INFO - Model training started
